Date,Type,Category,Amount,Location,Balance
2023-10-19 18:26:51.686541,Expense,Other,€-432.70,"61, Gatzarriñe kalea, Ugeraga, Sopela, Andraka, Bizkaia, Euskadi, 48620, España",€-10353.50
2023-10-20 01:33:51.686541,Expense,Leisure,€-648.10,"Camino Santiago / Donejakue bidea, Subijana de Álava/Subillana-Gasteiz, Nanclares de la Oca/Langraiz Oka, Iruña Oka/Iruña de Oca, Añanako kuadrilla/Cuadrilla de Añana, Araba/Álava, Euskadi, 01230, España",€-11001.61
2023-10-21 19:03:51.686541,Expense,Food,€-798.03,"Eguzkitza bidea, Baserri-Santa Ana, Iturriaga, Berango, Andraka, Bizkaia, Euskadi, 48620, España",€-11799.64
2023-10-22 06:07:51.686541,Expense,Food,€-904.25,"Ganeranerako igoera, Galdames, Bizkaia, Euskadi, 48191, España",€-12703.89
2023-10-22 18:14:51.686541,Expense,Car,€-600.76,"Bilbao, Spain",€-13304.65
2023-10-23 19:39:51.686541,Expense,Leisure,€-614.37,"A-2521, Comunidad de Basaude, Goiuri-Ondona, Urkabustaiz, Gorbeialdea, Araba/Álava, Euskadi, 01449, España",€-13919.02
2023-10-25 01:06:51.686541,Expense,Other,€-306.37,España,€-14225.40
2023-10-26 02:34:51.686541,Expense,Food,€-783.96,"Avia, Polígono Industrial Aeroportuario, Polígono Industrial Aeropuerto, Derio, Andraka, Bizkaia, Euskadi, 48620, España",€-15009.35
2023-10-26 11:18:51.686541,Expense,Leisure,€-671.61,"Portillo de Melaria / Melariako mendatea, Valdegovía/Gaubea, Añanako kuadrilla/Cuadrilla de Añana, Araba/Álava, Euskadi, 01426, España",€-15680.96
2023-10-27 00:02:51.686541,Expense,Food,€-763.25,"Larrabizker Zehar bidea, Mungia, Andraka, Bizkaia, Euskadi, 48620, España",€-16444.22
2023-10-29 11:51:51.686541,Expense,Other,€-301.85,"Arkotxa auzoa, Zaratamo, Bizkaia, Euskadi, 48960, España",€-16746.07
2023-10-31 18:34:51.686541,Expense,Other,€-419.00,"Valdellado, Junta de Traslaloma, Burgos, Castilla y León, España",€-17165.07
2023-11-02 07:12:51.686541,Income,Salary,€4540.81,"Bilbao, Spain",€-12624.26
2023-11-04 16:33:51.686541,Expense,Food,€-819.86,"Barrio El Llano, Sollano-Llantada, Zalla, Bizkaia, Euskadi, 48860, España",€-13444.12
2023-11-05 03:27:51.686541,Expense,Food,€-797.49,"Loiola Ander Deuna kalea, Berango, Andraka, Bizkaia, Euskadi, 48620, España",€-14241.61
2023-11-05 20:49:51.686541,Expense,Food,€-934.88,"5, BI-3332, Ibarruri, Muniketa, Muxika, Bizkaia, Euskadi, 48392, España",€-15176.49
2023-11-08 06:49:51.686541,Expense,Food,€-696.76,"Etxe-Uli, Balparda, Santurtzi, Bizkaia, Euskadi, 48620, España",€-15873.24
2023-11-09 03:58:51.686541,Expense,Leisure,€-577.94,"Andraka, Bizkaia, Euskadi, 48620, España",€-16451.18
2023-11-10 09:54:51.686541,Expense,Food,€-928.77,"Lemoa - Amorebieta-Etxano errepidea, Bolunburu, Lemoa, Bizkaia, Euskadi, 48330, España",€-17379.95
2023-11-12 04:36:51.686541,Expense,Leisure,€-606.84,"Andraka, Bizkaia, Euskadi, 48620, España",€-17986.79
2023-11-12 19:35:51.686541,Expense,Food,€-777.91,"175-B, Garaioltza auzoa, Urbanización el caserío, Mandagiliz, Lezama, Bizkaia, Euskadi, 48196, España",€-18764.70
2023-11-14 12:32:51.686541,Expense,Food,€-770.80,"4, Gardea kalea/Calle Gardea, Santa Cruz de Llodio, Larrazabal-Gardea, Laudio/Llodio, Aiarako kuadrilla/Cuadrilla de Ayala, Araba/Álava, Euskadi, 01400, España",€-19535.50
2023-11-15 01:15:51.686541,Expense,Leisure,€-576.44,"Barrio Posadoiros, Oruña, Piélagos, Cantabria, 39477, España",€-20111.94
2023-11-15 03:50:51.686541,Expense,Food,€-779.07,"41 Zabalbide - Basobide, Baso bidea, Atxuri, Ibaiondo, Bilbao, Bizkaia, Euskadi, 48006, España",€-20891.01
2023-11-17 06:17:51.686541,Expense,Leisure,€-580.65,"Fraileburu, Ibarrangelu, Bizkaia, Euskadi, 48317, España",€-21471.66
2023-11-18 07:27:51.686541,Expense,Food,€-704.11,"Zollo, Aspiuntza, Arrankudiaga, Arrankudiaga-Zollo, Bizkaia, Euskadi, 48490, España",€-22175.77
2023-11-19 05:10:51.686541,Expense,Other,€-434.52,"Motosabide, Egalesaburu xendra, Orozko, Bizkaia, Euskadi, 48410, España",€-22610.29
2023-11-19 22:15:51.686541,Expense,Utilities,€-411.68,"Bilbao, Spain",€-23021.97
2023-11-20 15:29:51.686541,Expense,Leisure,€-635.04,"La Cueva, Junta de Traslaloma, Burgos, Castilla y León, España",€-23657.01
2023-11-23 15:40:51.686541,Expense,Other,€-389.48,España,€-24046.49
2023-11-24 10:08:51.686541,Expense,Car,€-602.02,"Bilbao, Spain",€-24648.51
2023-11-24 11:29:51.686541,Expense,Other,€-375.59,"Cuesta Blanco, Quintanaélez, Burgos, Castilla y León, España",€-25024.11
2023-11-26 21:09:51.686541,Expense,Food,€-825.53,"BI-3513, Elexabeitia, Artea, Bizkaia, Euskadi, 48142, España",€-25849.64
2023-11-28 13:49:51.686541,Expense,Food,€-776.59,"Urko kiroldegia, Sopelako saihesbidea, Argalutza, Sopela, Andraka, Bizkaia, Euskadi, 48620, España",€-26626.23
2023-11-29 10:02:51.686541,Expense,Leisure,€-631.03,"BU-V-5146, Tudanca de Ebro, Los Altos, Burgos, Castilla y León, 09551, España",€-27257.27
2023-11-30 10:23:51.686541,Expense,Leisure,€-555.91,"Urruzuno bailara, Urruzuno, Elgoibar, Debabarrena, Gipuzkoa, Euskadi, 20870, España",€-27813.17
2023-12-01 12:44:51.686541,Expense,Food,€-811.10,"Carretera del Hospital Santa Marina a Kukullaga, Barrio Kukullaga, Otxarkoaga-Txurdinaga, Etxebarri, Bizkaia, Euskadi, 48450, España",€-28624.28
2023-12-02 02:35:51.686541,Expense,Car,€-463.87,"Bilbao, Spain",€-29088.15
2023-12-02 09:19:51.686541,Income,Salary,€5872.63,"Bilbao, Spain",€-23215.52
2023-12-03 04:09:51.686541,Expense,Food,€-771.00,"Islabemendi, Derio, Andraka, Bizkaia, Euskadi, 48620, España",€-23986.52
2023-12-06 12:29:51.686541,Expense,Food,€-837.06,"Zetas hacia Tarín, Alonsotegi, Bizkaia, Euskadi, 48002, España",€-24823.58
2023-12-09 11:36:51.686541,Expense,Leisure,€-683.20,"Antigua ermita de Santa Lucía, Calle Real, San Pedro del Monte, Bascuñana, Burgos, Castilla y León, 09259, España",€-25506.78
2023-12-09 23:06:51.686541,Expense,Leisure,€-550.54,"Getxo FC, Makaleta etorbidea, Aiboa, Getxo, Andraka, Bizkaia, Euskadi, 48620, España",€-26057.33
2023-12-10 15:24:51.686541,Expense,Utilities,€-440.81,"Bilbao, Spain",€-26498.13
2023-12-14 20:56:51.686541,Expense,Extra Expense,€-1505.61,"Mina Pickwick, Zugaztieta / La Arboleda - Muskiz, Picuí, Ortuella, Bizkaia, Euskadi, 48500, España",€-28003.74
2023-12-16 07:26:51.686541,Expense,Car,€-670.43,"Bilbao, Spain",€-28674.17
2023-12-17 05:33:51.686541,Expense,Leisure,€-629.34,"Andraka, Bizkaia, Euskadi, 48620, España",€-29303.52
2023-12-17 18:15:51.686541,Expense,Food,€-793.63,"38, Enekuri-Artxanda errepidea, Bilbao, Bizkaia, Euskadi, 48015, España",€-30097.15
2023-12-18 05:59:51.686541,Expense,Food,€-889.47,"Lotina, Aldai, Fruiz, Andraka, Bizkaia, Euskadi, 48620, España",€-30986.62
2023-12-18 07:06:51.686541,Expense,Other,€-426.22,"Mendisugarra, Lana, Estellerria / Tierra Estella, Navarra - Nafarroa, España",€-31412.84
2023-12-19 16:21:51.686541,Expense,Leisure,€-617.12,"Agiña/tejo, Mal camino, Zeanuri, Bizkaia, Euskadi, 48148, España",€-32029.96
2023-12-20 12:17:51.686541,Expense,Food,€-716.95,"Mungia - Gamiz-Fika errepidea, Elgezabal, Mungia, Andraka, Bizkaia, Euskadi, 48620, España",€-32746.91
2023-12-22 16:19:51.686541,Expense,Other,€-399.82,"Zeanuri, Bizkaia, Euskadi, 48148, España",€-33146.74
2023-12-23 13:09:51.686541,Expense,Mortgage,€-966.95,"Bilbao, Spain",€-34113.68
2023-12-24 03:49:51.686541,Expense,Food,€-785.59,"BI-3114, Txipio, Barrika, Andraka, Bizkaia, Euskadi, 48620, España",€-34899.27
2023-12-26 08:21:51.686541,Expense,Food,€-701.95,"3, Barrio La Isequilla, Mimetiz, Zalla, Bizkaia, Euskadi, 48860, España",€-35601.23
2023-12-27 09:05:51.686541,Expense,Food,€-780.96,"La Barra, Itsaslur auzoa, Pobeña, Muskiz, Bizkaia, Euskadi, 48508, España",€-36382.19
2023-12-27 10:14:51.686541,Expense,Leisure,€-571.89,"Andraka, Bizkaia, Euskadi, 48620, España",€-36954.08
2023-12-28 17:05:51.686541,Expense,Utilities,€-394.53,"Bilbao, Spain",€-37348.61
2023-12-29 08:06:51.686541,Expense,Leisure,€-578.25,"Vallemanco, Comunión/Komunioi, Lantarón, Añanako kuadrilla/Cuadrilla de Añana, Araba/Álava, Euskadi, 01213, España",€-37926.86
2023-12-29 13:03:51.686541,Expense,Food,€-830.58,"BI-2121, Polígono Industrial Belako, Atela, Mungia, Andraka, Bizkaia, Euskadi, 48620, España",€-38757.44
2024-01-01 22:14:51.686541,Expense,Food,€-943.23,"Aranoltza (San Antolin), Zamudio, Bizkaia, Euskadi, 48170, España",€-39700.67
2024-01-02 06:44:51.686541,Income,Salary,€4623.67,"Bilbao, Spain",€-35076.99
2024-01-04 22:12:51.686541,Expense,Food,€-816.80,"Andraka, Bizkaia, Euskadi, 48620, España",€-35893.80
2024-01-08 19:18:51.686541,Expense,Food,€-716.03,"Bunker, Monte Avril bidea, Galdakao, Bizkaia, Euskadi, 48960, España",€-36609.82
2024-01-09 22:28:51.686541,Expense,Food,€-765.28,"Alonsotegi, Bizkaia, Euskadi, 48810, España",€-37375.11
2024-01-11 12:23:51.686541,Expense,Food,€-794.26,"Elorriaga auzoa, Leginetxe, Anton Mendikoa, Amorebieta-Etxano, Bizkaia, Euskadi, 48330, España",€-38169.37
2024-01-11 13:12:51.686541,Expense,Leisure,€-479.31,"Camino a Berretin, Dehesas Agregadas de Zuya, Markina, Zuia, Gorbeialdea, Araba/Álava, Euskadi, 01139, España",€-38648.68
2024-01-12 23:05:51.686541,Expense,Car,€-604.29,"Bilbao, Spain",€-39252.97
2024-01-13 14:26:51.686541,Expense,Food,€-811.15,"Madaleneko ermita, BI-2121, Polígono Industrial Belako, Atela, Mungia, Andraka, Bizkaia, Euskadi, 48620, España",€-40064.12
2024-01-14 06:00:51.686541,Expense,Car,€-670.99,"Bilbao, Spain",€-40735.11
2024-01-15 20:12:51.686541,Expense,Other,€-418.47,"1, Hondartza kalea/Calle la Playa, Sobrón, Lantarón, Añanako kuadrilla/Cuadrilla de Añana, Araba/Álava, Euskadi, 01423, España",€-41153.58
2024-01-16 04:24:51.686541,Expense,Leisure,€-649.86,"Laurekate, Narbaiza, San Millán/Donemiliaga, Arabako lautada/Llanada Alavesa, Araba/Álava, Euskadi, 01208, España",€-41803.44
2024-01-16 13:30:51.686541,Expense,Food,€-830.90,"El Campillo, Ubieta, Güeñes, Bizkaia, Euskadi, 48850, España",€-42634.34
2024-01-17 02:12:51.686541,Expense,Food,€-748.88,"Barrio Meñakabarrena, Meñakabarrena, Meñaka, Andraka, Bizkaia, Euskadi, 48620, España",€-43383.22
2024-01-17 11:41:51.686541,Income,Extra Income,€2815.26,"Bilbao, Spain",€-40567.97
2024-01-18 13:27:51.686541,Expense,Other,€-368.82,"Calle Arsenio, Ornás, Sámano, Castro-Urdiales, Cantabria, 39709, España",€-40936.79
2024-01-18 21:17:51.686541,Expense,Food,€-822.48,"Elexalde, Getxo, Andraka, Bizkaia, Euskadi, 48993, España",€-41759.27
2024-01-18 21:27:51.686541,Expense,Leisure,€-606.17,"BI-3108, Elordigane, Markaida, Maruri-Jatabe, Andraka, Bizkaia, Euskadi, 48620, España",€-42365.43
2024-01-20 14:37:51.686541,Expense,Food,€-957.94,"Aitxarte, Carretera Arrigorriaga - Bilbao (Buia), Abusu / La Peña, Buia, Ibaiondo, Bilbao, Bizkaia, Euskadi, 48003, España",€-43323.37
2024-01-20 23:52:51.686541,Expense,Leisure,€-614.05,"Iturzurigaña trikuharria, BI-633, Sallobente, Besoita, Berriz, Bizkaia, Euskadi, 48240, España",€-43937.42
2024-01-21 19:36:51.686541,Expense,Other,€-441.53,"Bagate, Delika, Amurrio, Aiarako kuadrilla/Cuadrilla de Ayala, Araba/Álava, Euskadi, 01468, España",€-44378.95
2024-01-21 22:53:51.686541,Expense,Car,€-578.81,"Bilbao, Spain",€-44957.76
2024-01-24 03:15:51.686541,Expense,Utilities,€-420.90,"Bilbao, Spain",€-45378.66
2024-01-25 17:55:51.686541,Expense,Food,€-817.39,"Miragana, Alonsotegi, Bizkaia, Euskadi, 48810, España",€-46196.05
2024-01-27 01:44:51.686541,Expense,Mortgage,€-1146.29,"Bilbao, Spain",€-47342.34
2024-01-27 12:57:51.686541,Expense,Food,€-800.80,"Urteta, Larrabetzu, Bizkaia, Euskadi, 48195, España",€-48143.15
2024-01-28 03:12:51.686541,Expense,Leisure,€-607.85,"Calle Montealegre, Montealegre, Ornás, Sámano, Castro-Urdiales, Cantabria, 39709, España",€-48751.00
2024-01-29 02:32:51.686541,Expense,Food,€-775.44,"Kortabaso, Uriondo, Zeberio, Bizkaia, Euskadi, 48148, España",€-49526.43
2024-02-01 12:44:51.686541,Expense,Food,€-824.66,"29, Larrazabal kalea/Calle Larrazabal, Larrazabal-Gardea, Laudio/Llodio, Aiarako kuadrilla/Cuadrilla de Ayala, Araba/Álava, Euskadi, 01400, España",€-50351.10
2024-02-02 06:00:51.686541,Income,Salary,€4034.79,"Bilbao, Spain",€-46316.30
2024-02-02 15:33:51.686541,Expense,Food,€-852.53,"17, Calle Vitoria-Gazteiz/Vitoria-Gasteiz kalea, Areta, Laudio/Llodio, Aiarako kuadrilla/Cuadrilla de Ayala, Araba/Álava, Euskadi, 01400, España",€-47168.83
2024-02-03 16:41:51.686541,Expense,Leisure,€-672.66,"Via Verde Ferrocarril Vasco-Navarro, Mendaza, Estellerria / Tierra Estella, Navarra - Nafarroa, España",€-47841.49
2024-02-03 18:51:51.686541,Expense,Food,€-771.08,"Larrazabal-Gardea, Laudio/Llodio, Aiarako kuadrilla/Cuadrilla de Ayala, Araba/Álava, Euskadi, 01400, España",€-48612.56
2024-02-05 17:48:51.686541,Expense,Leisure,€-608.15,"BI-3513, Aranguren, Orozko, Bizkaia, Euskadi, 48410, España",€-49220.72
2024-02-05 19:20:51.686541,Expense,Car,€-614.65,"Bilbao, Spain",€-49835.36
2024-02-06 09:46:51.686541,Expense,Leisure,€-585.57,"Andraka, Bizkaia, Euskadi, 48620, España",€-50420.93
2024-02-07 02:23:51.686541,Expense,Other,€-451.16,"Andraka, Bizkaia, Euskadi, 48620, España",€-50872.09
2024-02-07 11:05:51.686541,Expense,Food,€-715.24,"Kantauriko Autobidea / Autopista del Cantábrico, Urbi, Ariz, Basauri, Bizkaia, Euskadi, 48970, España",€-51587.33
2024-02-07 20:22:51.686541,Expense,Mortgage,€-1120.31,"Bilbao, Spain",€-52707.64
2024-02-08 14:25:51.686541,Expense,Other,€-337.72,España,€-53045.36
2024-02-09 13:09:51.686541,Expense,Food,€-956.67,"Mentxaketa, Elexalde, Laukiz, Andraka, Bizkaia, Euskadi, 48620, España",€-54002.03
2024-02-09 20:09:51.686541,Expense,Food,€-724.83,"Andraka, Bizkaia, Euskadi, 48620, España",€-54726.86
2024-02-09 23:27:51.686541,Expense,Leisure,€-515.58,"Ermita de San Roque, Carretera a Araduenga, Araduenga, La Llana, Valle de Mena, Burgos, Castilla y León, 01474, España",€-55242.44
2024-02-11 23:08:51.686541,Income,Extra Income,€3216.58,"Bilbao, Spain",€-52025.86
2024-02-12 14:46:51.686541,Expense,Food,€-907.91,"Camino Pontón, Bolueta, Begoña, Bilbao, Bizkaia, Euskadi, 48004, España",€-52933.76
2024-02-13 17:40:51.686541,Expense,Utilities,€-401.59,"Bilbao, Spain",€-53335.35
2024-02-14 10:33:51.686541,Expense,Other,€-388.57,"Bildusolakorta, Dima, Bizkaia, Euskadi, 48141, España",€-53723.93
2024-02-15 12:59:51.686541,Expense,Food,€-872.67,"San Bernabé, Arkoba3, Gaztaineta, Güeñes, Bizkaia, Euskadi, 48093, España",€-54596.60
2024-02-16 01:50:51.686541,Expense,Food,€-723.96,"Kantauriko errepidea, Gumuzio, Galdakao, Bizkaia, Euskadi, 48915, España",€-55320.55
2024-02-16 21:21:51.686541,Expense,Car,€-600.44,"Bilbao, Spain",€-55921.00
2024-02-17 18:57:51.686541,Expense,Food,€-825.26,"50, San Roke bidea, Uribarri, Bilbao, Bizkaia, Euskadi, 48015, España",€-56746.26
2024-02-17 21:15:51.686541,Expense,Food,€-724.68,"Emerando, Meñaka, Andraka, Bizkaia, Euskadi, 48620, España",€-57470.94
2024-02-18 04:46:51.686541,Expense,Other,€-447.19,"2, Calle Nicolás Alcorta / Nikolas Alkorta kalea, Iralabarri, Errekalde, Bilbao, Bizkaia, Euskadi, 48003, España",€-57918.13
2024-02-22 05:06:51.686541,Expense,Food,€-899.16,"Carretera de San Pedro a Intxaurraga, Intxaurraga, Galdames, Bizkaia, Euskadi, 48191, España",€-58817.28
2024-02-22 11:08:51.686541,Expense,Leisure,€-652.76,"Goienuri bidea, Isasi, Ugarte, Laudio/Llodio, Aiarako kuadrilla/Cuadrilla de Ayala, Araba/Álava, Euskadi, 01400, España",€-59470.05
2024-02-23 07:43:51.686541,Expense,Car,€-674.80,"Bilbao, Spain",€-60144.85
2024-02-24 03:39:51.686541,Expense,Leisure,€-529.91,"BI-3102, Mendotza, Gamiz-Fika, Bizkaia, Euskadi, 48620, España",€-60674.76
2024-02-26 21:21:51.686541,Expense,Other,€-382.21,"Udalondo, Goñi, Ibarrak / Valles, España",€-61056.97
2024-03-01 01:52:51.686541,Expense,Food,€-859.43,"BI-3513, Zeberio, Bizkaia, Euskadi, 48148, España",€-61916.40
2024-03-01 19:54:51.686541,Expense,Other,€-441.43,"Andraka, Bizkaia, Euskadi, 48620, España",€-62357.84
2024-03-01 23:11:51.686541,Expense,Car,€-574.60,"Bilbao, Spain",€-62932.44
2024-03-02 06:30:51.686541,Income,Salary,€4617.78,"Bilbao, Spain",€-58314.65
2024-03-03 08:47:51.686541,Expense,Leisure,€-533.67,"BU-V-5023, Escóbados de Abajo, Los Altos, Burgos, Castilla y León, España",€-58848.33
2024-03-03 20:03:51.686541,Expense,Leisure,€-619.01,España,€-59467.33
2024-03-05 11:42:51.686541,Expense,Other,€-427.21,"Quintanilla San García, Burgos, Castilla y León, España",€-59894.54
2024-03-07 00:29:51.686541,Expense,Other,€-419.85,"Andraka, Bizkaia, Euskadi, 48620, España",€-60314.39
2024-03-08 07:43:51.686541,Expense,Other,€-387.65,"Zubitaga kalea/Calle Zubitaga, Lasarte, Vitoria-Gasteiz, Gasteizko kuadrilla/Cuadrilla de Vitoria, Araba/Álava, Euskadi, 01194, España",€-60702.04
2024-03-09 09:42:51.686541,Expense,Food,€-863.43,"BI-3123, Gereka, Agirre, Arrieta, Bizkaia, Euskadi, 48114, España",€-61565.47
2024-03-10 02:26:51.686541,Expense,Food,€-750.57,"Gumuzio auzoa, Gumuzio, Amorebieta-Etxano, Bizkaia, Euskadi, 48330, España",€-62316.04
2024-03-11 11:25:51.686541,Expense,Other,€-367.93,"Palazioetarako bidea, Zamalloa, Dudagoitia, Amorebieta-Etxano, Bizkaia, Euskadi, 48340, España",€-62683.97
2024-03-11 14:54:51.686541,Expense,Food,€-744.28,"Epaltza auzoa, Ixer, Epaltza, Amorebieta-Etxano, Bizkaia, Euskadi, 48340, España",€-63428.25
2024-03-17 01:46:51.686541,Expense,Leisure,€-575.04,"Viaducto de Bárcena, Molledo, Cantabria, 39420, España",€-64003.29
2024-03-17 04:09:51.686541,Expense,Other,€-359.29,"Bizkai kalea, Kurtzea, Galdakao, Bizkaia, Euskadi, 48960, España",€-64362.59
2024-03-18 13:25:51.686541,Expense,Food,€-731.24,"Camino de Fano, Urezarantza, Orabil, Gorliz, Andraka, Bizkaia, Euskadi, 48620, España",€-65093.83
2024-03-23 15:22:51.686541,Expense,Food,€-840.40,"Calle Askatasuna, La Quadra, Güeñes, Bizkaia, Euskadi, 48820, España",€-65934.23
2024-03-25 13:19:51.686541,Expense,Leisure,€-580.42,"Agitiko senoa, 20170, España",€-66514.65
2024-03-27 16:22:51.686541,Expense,Mortgage,€-1132.68,"Bilbao, Spain",€-67647.33
2024-03-28 11:29:51.686541,Expense,Other,€-376.97,España,€-68024.30
2024-03-29 09:27:51.686541,Expense,Other,€-438.18,"Abeto Douglas de Albiztur, Ergoena bailara, Tolosa, Gipuzkoa, Euskadi, 20150, España",€-68462.48
2024-03-29 17:43:51.686541,Expense,Food,€-698.03,"Centro Ecuestre Solazpi, Goitioltza auzoa, Goitioltza, Lezama, Bizkaia, Euskadi, 48196, España",€-69160.51
2024-03-30 13:07:51.686541,Expense,Food,€-952.18,"Carretera del Monte Avril / Avril errepidea, Galdakao, Bizkaia, Euskadi, 48960, España",€-70112.70
2024-03-30 15:54:51.686541,Expense,Leisure,€-653.31,"Ontón-Otañes, Talledo, Castro-Urdiales, Cantabria, 39707, España",€-70766.01
2024-04-01 01:52:51.686541,Expense,Other,€-446.45,"Andraka, Bizkaia, Euskadi, 48620, España",€-71212.46
2024-04-02 05:08:51.686541,Expense,Other,€-372.76,"Pasarela de Azua, Marieta-Larrintzar, Barrundia, Arabako lautada/Llanada Alavesa, Araba/Álava, Euskadi, 01206, España",€-71585.22
2024-04-02 12:05:51.686541,Income,Salary,€5690.27,"Bilbao, Spain",€-65894.94
2024-04-03 12:41:51.686541,Expense,Food,€-843.98,"Eroso-Ugarte, Bedia, Bizkaia, Euskadi, 48390, España",€-66738.93
2024-04-05 16:09:51.686541,Expense,Food,€-786.63,"Polígono Industrial Belako, Atela, Mungia, Andraka, Bizkaia, Euskadi, 48620, España",€-67525.56
2024-04-07 09:04:51.686541,Income,Extra Income,€2915.07,"Bilbao, Spain",€-64610.49
2024-04-09 18:04:51.686541,Expense,Leisure,€-631.18,"BU-710, Belorado, Burgos, Castilla y León, 09250, España",€-65241.67
2024-04-10 03:54:51.686541,Expense,Other,€-368.33,"A-132, Antoñana, Campezo/Kanpezu, Montaña Alavesa/Arabako Mendialdea, Araba/Álava, Euskadi, 01128, España",€-65610.00
2024-04-13 03:40:51.686541,Expense,Other,€-403.63,"Barrio - Sobrón, Barrio, Valdegovía/Gaubea, Añanako kuadrilla/Cuadrilla de Añana, Araba/Álava, Euskadi, 01423, España",€-66013.63
2024-04-16 07:31:51.686541,Expense,Leisure,€-682.44,"Entrambosrios auzoa, Olabarrieta goitia, Olabarrieta, Mercadillo, Artzentales, Bizkaia, Euskadi, 48190, España",€-66696.07
2024-04-17 10:56:51.686541,Expense,Food,€-819.30,"Deustuko arraun pabiloia, Avenida Zarandoa / Zarandoa etorbidea, San Ignazio-Elorrieta, Deusto, Bilbao, Bizkaia, Euskadi, 48015, España",€-67515.37
2024-04-18 18:35:51.686541,Expense,Food,€-836.25,"Upo Mendi, Usansolo, Bizkaia, Euskadi, 48480, España",€-68351.63
2024-04-19 07:56:51.686541,Expense,Food,€-834.59,"Carretera del Txorierri, Ibañez Betolatza, Zamarripa, Loiu, Andraka, Bizkaia, Euskadi, 48620, España",€-69186.21
2024-04-20 09:38:51.686541,Expense,Other,€-446.42,"Eldegorri, Arratzu, Bizkaia, Euskadi, 48383, España",€-69632.63
2024-04-21 01:52:51.686541,Expense,Food,€-754.37,"Alto Olarte, Larrazabal-Gardea, Laudio/Llodio, Aiarako kuadrilla/Cuadrilla de Ayala, Araba/Álava, Euskadi, 01400, España",€-70387.01
2024-04-21 17:40:51.686541,Expense,Leisure,€-696.53,"Nates, Voto, Cantabria, 39761, España",€-71083.54
