Date,Income,Extra Income,Total Expenses,Extra Expenses,Balance,Mortgage,Car,Food,Leisure,Utilities,Other
2021-11-12 18:26:08.718704,€0.00,€0.00,€23.90,€0.00,€6589.48,€0.00,€0.00,€0.00,€14.58,€0.00,€9.32
2021-11-13 18:26:08.718704,€0.00,€0.00,€22.48,€0.00,€6567.00,€0.00,€0.00,€0.00,€12.82,€0.00,€9.65
2021-11-14 18:26:08.718704,€0.00,€0.00,€20.61,€0.00,€6546.39,€0.00,€0.00,€0.00,€12.22,€0.00,€8.39
2021-11-15 18:26:08.718704,€0.00,€0.00,€447.00,€0.00,€6099.39,€0.00,€0.00,€123.47,€11.87,€301.57,€10.08
2021-11-16 18:26:08.718704,€0.00,€0.00,€24.09,€0.00,€6075.30,€0.00,€0.00,€0.00,€14.94,€0.00,€9.15
2021-11-17 18:26:08.718704,€0.00,€0.00,€23.71,€0.00,€6051.58,€0.00,€0.00,€0.00,€14.95,€0.00,€8.76
2021-11-18 18:26:08.718704,€0.00,€0.00,€24.01,€0.00,€6027.57,€0.00,€0.00,€0.00,€14.29,€0.00,€9.72
2021-11-19 18:26:08.718704,€0.00,€0.00,€21.30,€0.00,€6006.27,€0.00,€0.00,€0.00,€12.54,€0.00,€8.76
2021-11-20 18:26:08.718704,€0.00,€0.00,€24.39,€0.00,€5981.89,€0.00,€0.00,€0.00,€14.07,€0.00,€10.32
2021-11-21 18:26:08.718704,€0.00,€0.00,€25.47,€0.00,€5956.42,€0.00,€0.00,€0.00,€16.05,€0.00,€9.41
2021-11-22 18:26:08.718704,€0.00,€0.00,€141.09,€0.00,€5815.34,€0.00,€0.00,€117.56,€13.78,€0.00,€9.74
2021-11-23 18:26:08.718704,€0.00,€0.00,€24.72,€0.00,€5790.62,€0.00,€0.00,€0.00,€15.27,€0.00,€9.45
2021-11-24 18:26:08.718704,€0.00,€0.00,€22.82,€0.00,€5767.80,€0.00,€0.00,€0.00,€14.68,€0.00,€8.14
2021-11-25 18:26:08.718704,€0.00,€0.00,€27.07,€0.00,€5740.72,€0.00,€0.00,€0.00,€17.01,€0.00,€10.07
2021-11-26 18:26:08.718704,€0.00,€0.00,€24.16,€0.00,€5716.56,€0.00,€0.00,€0.00,€15.82,€0.00,€8.34
2021-11-27 18:26:08.718704,€0.00,€0.00,€23.75,€0.00,€5692.81,€0.00,€0.00,€0.00,€13.93,€0.00,€9.83
2021-11-28 18:26:08.718704,€0.00,€0.00,€22.74,€0.00,€5670.06,€0.00,€0.00,€0.00,€13.21,€0.00,€9.53
2021-11-29 18:26:08.718704,€0.00,€0.00,€20.50,€0.00,€5649.56,€0.00,€0.00,€0.00,€12.67,€0.00,€7.83
2021-11-30 18:26:08.718704,€0.00,€0.00,€26.14,€0.00,€5623.42,€0.00,€0.00,€0.00,€15.43,€0.00,€10.71
2021-12-01 18:26:08.718704,€4181.05,€0.00,€161.84,€0.00,€9642.64,€0.00,€0.00,€135.63,€16.13,€0.00,€10.08
2021-12-02 18:26:08.718704,€0.00,€0.00,€22.84,€0.00,€9619.80,€0.00,€0.00,€0.00,€13.85,€0.00,€8.99
2021-12-03 18:26:08.718704,€0.00,€0.00,€23.63,€0.00,€9596.18,€0.00,€0.00,€0.00,€13.40,€0.00,€10.23
2021-12-04 18:26:08.718704,€0.00,€0.00,€22.67,€0.00,€9573.50,€0.00,€0.00,€0.00,€12.92,€0.00,€9.76
2021-12-05 18:26:08.718704,€0.00,€0.00,€935.79,€0.00,€8637.71,€911.41,€0.00,€0.00,€14.57,€0.00,€9.81
2021-12-06 18:26:08.718704,€0.00,€0.00,€23.71,€0.00,€8614.00,€0.00,€0.00,€0.00,€14.09,€0.00,€9.63
2021-12-07 18:26:08.718704,€0.00,€0.00,€24.77,€0.00,€8589.23,€0.00,€0.00,€0.00,€15.08,€0.00,€9.68
2021-12-08 18:26:08.718704,€0.00,€0.00,€155.95,€0.00,€8433.28,€0.00,€0.00,€133.46,€14.12,€0.00,€8.36
2021-12-09 18:26:08.718704,€0.00,€0.00,€22.33,€0.00,€8410.95,€0.00,€0.00,€0.00,€12.84,€0.00,€9.49
2021-12-10 18:26:08.718704,€0.00,€0.00,€393.42,€0.00,€8017.53,€0.00,€367.98,€0.00,€13.97,€0.00,€11.47
2021-12-11 18:26:08.718704,€0.00,€0.00,€21.66,€0.00,€7995.87,€0.00,€0.00,€0.00,€12.59,€0.00,€9.07
2021-12-12 18:26:08.718704,€0.00,€0.00,€22.61,€0.00,€7973.26,€0.00,€0.00,€0.00,€14.66,€0.00,€7.95
2021-12-13 18:26:08.718704,€0.00,€0.00,€26.35,€0.00,€7946.91,€0.00,€0.00,€0.00,€16.04,€0.00,€10.30
2021-12-14 18:26:08.718704,€0.00,€0.00,€22.60,€0.00,€7924.31,€0.00,€0.00,€0.00,€14.09,€0.00,€8.51
2021-12-15 18:26:08.718704,€0.00,€0.00,€430.98,€0.00,€7493.33,€0.00,€0.00,€131.20,€13.30,€277.88,€8.59
2021-12-16 18:26:08.718704,€0.00,€0.00,€21.33,€0.00,€7471.99,€0.00,€0.00,€0.00,€14.66,€0.00,€6.67
2021-12-17 18:26:08.718704,€0.00,€0.00,€24.34,€0.00,€7447.65,€0.00,€0.00,€0.00,€15.21,€0.00,€9.13
2021-12-18 18:26:08.718704,€0.00,€0.00,€23.44,€0.00,€7424.21,€0.00,€0.00,€0.00,€15.64,€0.00,€7.81
2021-12-19 18:26:08.718704,€0.00,€0.00,€20.84,€0.00,€7403.37,€0.00,€0.00,€0.00,€13.21,€0.00,€7.62
2021-12-20 18:26:08.718704,€0.00,€0.00,€24.30,€0.00,€7379.07,€0.00,€0.00,€0.00,€14.02,€0.00,€10.29
2021-12-21 18:26:08.718704,€0.00,€0.00,€22.57,€0.00,€7356.50,€0.00,€0.00,€0.00,€14.07,€0.00,€8.50
2021-12-22 18:26:08.718704,€0.00,€0.00,€164.87,€0.00,€7191.63,€0.00,€0.00,€141.06,€13.89,€0.00,€9.93
2021-12-23 18:26:08.718704,€0.00,€0.00,€24.27,€0.00,€7167.36,€0.00,€0.00,€0.00,€15.32,€0.00,€8.95
2021-12-24 18:26:08.718704,€0.00,€0.00,€22.50,€0.00,€7144.86,€0.00,€0.00,€0.00,€13.40,€0.00,€9.10
2021-12-25 18:26:08.718704,€0.00,€0.00,€24.99,€0.00,€7119.87,€0.00,€0.00,€0.00,€14.03,€0.00,€10.96
2021-12-26 18:26:08.718704,€0.00,€0.00,€23.01,€0.00,€7096.86,€0.00,€0.00,€0.00,€14.37,€0.00,€8.64
2021-12-27 18:26:08.718704,€0.00,€0.00,€21.02,€0.00,€7075.84,€0.00,€0.00,€0.00,€11.91,€0.00,€9.12
2021-12-28 18:26:08.718704,€0.00,€0.00,€24.03,€0.00,€7051.81,€0.00,€0.00,€0.00,€16.21,€0.00,€7.82
2021-12-29 18:26:08.718704,€0.00,€0.00,€24.13,€0.00,€7027.68,€0.00,€0.00,€0.00,€16.06,€0.00,€8.07
2021-12-30 18:26:08.718704,€0.00,€0.00,€22.07,€0.00,€7005.61,€0.00,€0.00,€0.00,€13.04,€0.00,€9.03
2021-12-31 18:26:08.718704,€0.00,€0.00,€0.00,€0.00,€7005.61,€0.00,€0.00,€0.00,€0.00,€0.00,€0.00
2022-01-01 18:26:08.718704,€4134.16,€0.00,€155.03,€0.00,€10984.74,€0.00,€0.00,€129.05,€15.24,€0.00,€10.74
2022-01-02 18:26:08.718704,€0.00,€0.00,€23.74,€0.00,€10961.00,€0.00,€0.00,€0.00,€14.01,€0.00,€9.73
2022-01-03 18:26:08.718704,€0.00,€0.00,€23.88,€0.00,€10937.12,€0.00,€0.00,€0.00,€14.20,€0.00,€9.68
2022-01-04 18:26:08.718704,€0.00,€0.00,€20.86,€0.00,€10916.26,€0.00,€0.00,€0.00,€11.21,€0.00,€9.65
2022-01-05 18:26:08.718704,€0.00,€0.00,€1082.31,€0.00,€9833.95,€1058.18,€0.00,€0.00,€13.69,€0.00,€10.44
2022-01-06 18:26:08.718704,€0.00,€0.00,€22.19,€0.00,€9811.75,€0.00,€0.00,€0.00,€12.59,€0.00,€9.60
2022-01-07 18:26:08.718704,€0.00,€0.00,€25.44,€0.00,€9786.32,€0.00,€0.00,€0.00,€14.45,€0.00,€10.98
2022-01-08 18:26:08.718704,€0.00,€0.00,€156.75,€0.00,€9629.57,€0.00,€0.00,€133.29,€14.21,€0.00,€9.25
2022-01-09 18:26:08.718704,€0.00,€0.00,€21.67,€0.00,€9607.90,€0.00,€0.00,€0.00,€10.76,€0.00,€10.90
2022-01-10 18:26:08.718704,€0.00,€0.00,€346.24,€0.00,€9261.66,€0.00,€322.53,€0.00,€14.39,€0.00,€9.32
2022-01-11 18:26:08.718704,€0.00,€0.00,€22.50,€0.00,€9239.17,€0.00,€0.00,€0.00,€14.36,€0.00,€8.14
2022-01-12 18:26:08.718704,€0.00,€0.00,€23.47,€0.00,€9215.70,€0.00,€0.00,€0.00,€15.20,€0.00,€8.27
2022-01-13 18:26:08.718704,€0.00,€0.00,€22.12,€0.00,€9193.58,€0.00,€0.00,€0.00,€11.84,€0.00,€10.28
2022-01-14 18:26:08.718704,€0.00,€0.00,€26.31,€0.00,€9167.27,€0.00,€0.00,€0.00,€16.04,€0.00,€10.27
2022-01-15 18:26:08.718704,€0.00,€0.00,€443.51,€0.00,€8723.76,€0.00,€0.00,€155.15,€15.47,€262.17,€10.73
2022-01-16 18:26:08.718704,€0.00,€0.00,€20.60,€0.00,€8703.16,€0.00,€0.00,€0.00,€12.54,€0.00,€8.06
2022-01-17 18:26:08.718704,€0.00,€0.00,€25.09,€0.00,€8678.07,€0.00,€0.00,€0.00,€15.85,€0.00,€9.24
2022-01-18 18:26:08.718704,€0.00,€0.00,€21.39,€0.00,€8656.69,€0.00,€0.00,€0.00,€13.14,€0.00,€8.24
2022-01-19 18:26:08.718704,€0.00,€0.00,€21.46,€0.00,€8635.22,€0.00,€0.00,€0.00,€13.03,€0.00,€8.44
2022-01-20 18:26:08.718704,€0.00,€0.00,€22.78,€0.00,€8612.44,€0.00,€0.00,€0.00,€13.82,€0.00,€8.96
2022-01-21 18:26:08.718704,€0.00,€0.00,€22.46,€0.00,€8589.97,€0.00,€0.00,€0.00,€14.37,€0.00,€8.09
2022-01-22 18:26:08.718704,€0.00,€0.00,€164.46,€0.00,€8425.52,€0.00,€0.00,€141.00,€14.45,€0.00,€9.00
2022-01-23 18:26:08.718704,€0.00,€0.00,€23.31,€0.00,€8402.20,€0.00,€0.00,€0.00,€13.92,€0.00,€9.39
2022-01-24 18:26:08.718704,€0.00,€0.00,€22.36,€0.00,€8379.84,€0.00,€0.00,€0.00,€14.41,€0.00,€7.95
2022-01-25 18:26:08.718704,€0.00,€0.00,€25.69,€0.00,€8354.15,€0.00,€0.00,€0.00,€15.78,€0.00,€9.91
2022-01-26 18:26:08.718704,€0.00,€0.00,€23.33,€0.00,€8330.82,€0.00,€0.00,€0.00,€14.58,€0.00,€8.75
2022-01-27 18:26:08.718704,€0.00,€0.00,€25.18,€0.00,€8305.63,€0.00,€0.00,€0.00,€14.09,€0.00,€11.10
2022-01-28 18:26:08.718704,€0.00,€0.00,€23.49,€0.00,€8282.15,€0.00,€0.00,€0.00,€13.84,€0.00,€9.65
2022-01-29 18:26:08.718704,€0.00,€0.00,€22.07,€0.00,€8260.08,€0.00,€0.00,€0.00,€12.47,€0.00,€9.60
2022-01-30 18:26:08.718704,€0.00,€0.00,€22.16,€0.00,€8237.91,€0.00,€0.00,€0.00,€13.14,€0.00,€9.03
2022-01-31 18:26:08.718704,€0.00,€0.00,€0.00,€0.00,€8237.91,€0.00,€0.00,€0.00,€0.00,€0.00,€0.00
2022-02-01 18:26:08.718704,€4378.48,€0.00,€176.16,€1461.14,€10979.09,€0.00,€0.00,€154.01,€13.20,€0.00,€8.96
2022-02-02 18:26:08.718704,€0.00,€0.00,€21.48,€0.00,€10957.61,€0.00,€0.00,€0.00,€13.49,€0.00,€7.99
2022-02-03 18:26:08.718704,€0.00,€0.00,€24.07,€0.00,€10933.54,€0.00,€0.00,€0.00,€13.68,€0.00,€10.39
2022-02-04 18:26:08.718704,€0.00,€0.00,€24.61,€0.00,€10908.93,€0.00,€0.00,€0.00,€13.28,€0.00,€11.33
2022-02-05 18:26:08.718704,€0.00,€0.00,€803.18,€0.00,€10105.75,€779.34,€0.00,€0.00,€13.86,€0.00,€9.97
2022-02-06 18:26:08.718704,€0.00,€0.00,€23.77,€0.00,€10081.98,€0.00,€0.00,€0.00,€14.80,€0.00,€8.96
2022-02-07 18:26:08.718704,€0.00,€0.00,€22.45,€0.00,€10059.54,€0.00,€0.00,€0.00,€11.90,€0.00,€10.55
2022-02-08 18:26:08.718704,€0.00,€0.00,€175.20,€0.00,€9884.34,€0.00,€0.00,€152.17,€14.20,€0.00,€8.83
2022-02-09 18:26:08.718704,€0.00,€0.00,€23.09,€0.00,€9861.25,€0.00,€0.00,€0.00,€14.50,€0.00,€8.59
2022-02-10 18:26:08.718704,€0.00,€0.00,€428.82,€0.00,€9432.43,€0.00,€406.97,€0.00,€13.07,€0.00,€8.77
2022-02-11 18:26:08.718704,€0.00,€0.00,€18.50,€0.00,€9413.93,€0.00,€0.00,€0.00,€10.46,€0.00,€8.04
2022-02-12 18:26:08.718704,€0.00,€0.00,€23.37,€0.00,€9390.56,€0.00,€0.00,€0.00,€14.40,€0.00,€8.98
2022-02-13 18:26:08.718704,€0.00,€0.00,€23.50,€0.00,€9367.05,€0.00,€0.00,€0.00,€13.42,€0.00,€10.09
2022-02-14 18:26:08.718704,€0.00,€0.00,€22.16,€0.00,€9344.90,€0.00,€0.00,€0.00,€13.43,€0.00,€8.73
2022-02-15 18:26:08.718704,€0.00,€0.00,€430.32,€0.00,€8914.57,€0.00,€0.00,€135.61,€12.97,€271.42,€10.33
2022-02-16 18:26:08.718704,€0.00,€0.00,€22.60,€0.00,€8891.97,€0.00,€0.00,€0.00,€14.03,€0.00,€8.57
2022-02-17 18:26:08.718704,€0.00,€0.00,€23.71,€0.00,€8868.27,€0.00,€0.00,€0.00,€15.48,€0.00,€8.23
2022-02-18 18:26:08.718704,€0.00,€0.00,€22.77,€0.00,€8845.49,€0.00,€0.00,€0.00,€13.49,€0.00,€9.29
2022-02-19 18:26:08.718704,€0.00,€0.00,€20.67,€0.00,€8824.82,€0.00,€0.00,€0.00,€13.15,€0.00,€7.52
2022-02-20 18:26:08.718704,€0.00,€0.00,€23.09,€0.00,€8801.73,€0.00,€0.00,€0.00,€13.60,€0.00,€9.49
2022-02-21 18:26:08.718704,€0.00,€0.00,€27.21,€0.00,€8774.52,€0.00,€0.00,€0.00,€16.62,€0.00,€10.59
2022-02-22 18:26:08.718704,€0.00,€0.00,€131.18,€0.00,€8643.34,€0.00,€0.00,€108.32,€14.39,€0.00,€8.47
2022-02-23 18:26:08.718704,€0.00,€0.00,€24.21,€0.00,€8619.13,€0.00,€0.00,€0.00,€14.97,€0.00,€9.24
2022-02-24 18:26:08.718704,€0.00,€0.00,€21.71,€0.00,€8597.43,€0.00,€0.00,€0.00,€12.50,€0.00,€9.21
2022-02-25 18:26:08.718704,€0.00,€0.00,€23.69,€0.00,€8573.74,€0.00,€0.00,€0.00,€13.33,€0.00,€10.36
2022-02-26 18:26:08.718704,€0.00,€0.00,€21.26,€0.00,€8552.48,€0.00,€0.00,€0.00,€12.09,€0.00,€9.17
2022-02-27 18:26:08.718704,€0.00,€0.00,€26.27,€0.00,€8526.20,€0.00,€0.00,€0.00,€17.70,€0.00,€8.58
2022-02-28 18:26:08.718704,€0.00,€0.00,€23.22,€0.00,€8502.98,€0.00,€0.00,€0.00,€14.08,€0.00,€9.14
2022-03-01 18:26:08.718704,€4933.42,€0.00,€152.11,€0.00,€13284.30,€0.00,€0.00,€129.60,€12.71,€0.00,€9.80
2022-03-02 18:26:08.718704,€0.00,€0.00,€26.21,€0.00,€13258.08,€0.00,€0.00,€0.00,€17.01,€0.00,€9.20
2022-03-03 18:26:08.718704,€0.00,€0.00,€22.38,€0.00,€13235.70,€0.00,€0.00,€0.00,€15.08,€0.00,€7.30
2022-03-04 18:26:08.718704,€0.00,€0.00,€22.02,€0.00,€13213.68,€0.00,€0.00,€0.00,€13.01,€0.00,€9.01
2022-03-05 18:26:08.718704,€0.00,€0.00,€939.63,€0.00,€12274.05,€916.24,€0.00,€0.00,€13.73,€0.00,€9.66
2022-03-06 18:26:08.718704,€0.00,€0.00,€21.64,€0.00,€12252.41,€0.00,€0.00,€0.00,€12.90,€0.00,€8.73
2022-03-07 18:26:08.718704,€0.00,€0.00,€20.18,€0.00,€12232.23,€0.00,€0.00,€0.00,€12.52,€0.00,€7.66
2022-03-08 18:26:08.718704,€0.00,€0.00,€157.05,€0.00,€12075.19,€0.00,€0.00,€135.88,€13.31,€0.00,€7.86
2022-03-09 18:26:08.718704,€0.00,€0.00,€22.36,€0.00,€12052.83,€0.00,€0.00,€0.00,€14.34,€0.00,€8.02
2022-03-10 18:26:08.718704,€0.00,€0.00,€423.06,€0.00,€11629.77,€0.00,€397.26,€0.00,€15.37,€0.00,€10.42
2022-03-11 18:26:08.718704,€0.00,€0.00,€25.23,€0.00,€11604.54,€0.00,€0.00,€0.00,€14.88,€0.00,€10.35
2022-03-12 18:26:08.718704,€0.00,€0.00,€22.67,€0.00,€11581.86,€0.00,€0.00,€0.00,€13.38,€0.00,€9.30
2022-03-13 18:26:08.718704,€0.00,€0.00,€24.20,€0.00,€11557.66,€0.00,€0.00,€0.00,€14.72,€0.00,€9.48
2022-03-14 18:26:08.718704,€0.00,€0.00,€26.48,€0.00,€11531.18,€0.00,€0.00,€0.00,€17.23,€0.00,€9.25
2022-03-15 18:26:08.718704,€0.00,€0.00,€432.01,€0.00,€11099.17,€0.00,€0.00,€141.14,€17.06,€264.91,€8.90
2022-03-16 18:26:08.718704,€0.00,€0.00,€21.67,€0.00,€11077.50,€0.00,€0.00,€0.00,€13.00,€0.00,€8.67
2022-03-17 18:26:08.718704,€0.00,€0.00,€23.70,€0.00,€11053.80,€0.00,€0.00,€0.00,€13.94,€0.00,€9.76
2022-03-18 18:26:08.718704,€0.00,€0.00,€21.15,€0.00,€11032.65,€0.00,€0.00,€0.00,€12.65,€0.00,€8.50
2022-03-19 18:26:08.718704,€0.00,€0.00,€24.40,€0.00,€11008.25,€0.00,€0.00,€0.00,€15.43,€0.00,€8.97
2022-03-20 18:26:08.718704,€0.00,€0.00,€21.66,€0.00,€10986.59,€0.00,€0.00,€0.00,€12.30,€0.00,€9.36
2022-03-21 18:26:08.718704,€0.00,€0.00,€22.47,€0.00,€10964.12,€0.00,€0.00,€0.00,€13.17,€0.00,€9.30
2022-03-22 18:26:08.718704,€0.00,€0.00,€160.48,€0.00,€10803.64,€0.00,€0.00,€134.84,€15.87,€0.00,€9.77
2022-03-23 18:26:08.718704,€0.00,€0.00,€22.27,€0.00,€10781.37,€0.00,€0.00,€0.00,€14.28,€0.00,€7.98
2022-03-24 18:26:08.718704,€0.00,€0.00,€20.74,€0.00,€10760.63,€0.00,€0.00,€0.00,€12.41,€0.00,€8.33
2022-03-25 18:26:08.718704,€0.00,€0.00,€23.25,€0.00,€10737.38,€0.00,€0.00,€0.00,€14.71,€0.00,€8.53
2022-03-26 18:26:08.718704,€0.00,€0.00,€20.32,€0.00,€10717.06,€0.00,€0.00,€0.00,€13.36,€0.00,€6.96
2022-03-27 18:26:08.718704,€0.00,€0.00,€24.85,€0.00,€10692.22,€0.00,€0.00,€0.00,€15.14,€0.00,€9.70
2022-03-28 18:26:08.718704,€0.00,€0.00,€22.41,€0.00,€10669.80,€0.00,€0.00,€0.00,€12.36,€0.00,€10.05
2022-03-29 18:26:08.718704,€0.00,€0.00,€26.01,€0.00,€10643.79,€0.00,€0.00,€0.00,€15.72,€0.00,€10.29
2022-03-30 18:26:08.718704,€0.00,€0.00,€21.90,€0.00,€10621.90,€0.00,€0.00,€0.00,€12.61,€0.00,€9.29
2022-03-31 18:26:08.718704,€0.00,€0.00,€0.00,€0.00,€10621.90,€0.00,€0.00,€0.00,€0.00,€0.00,€0.00
2022-04-01 18:26:08.718704,€4630.84,€0.00,€194.93,€1236.83,€13820.97,€0.00,€0.00,€173.38,€12.38,€0.00,€9.18
2022-04-02 18:26:08.718704,€0.00,€0.00,€24.14,€0.00,€13796.83,€0.00,€0.00,€0.00,€14.78,€0.00,€9.36
2022-04-03 18:26:08.718704,€0.00,€0.00,€23.03,€0.00,€13773.80,€0.00,€0.00,€0.00,€13.04,€0.00,€9.99
2022-04-04 18:26:08.718704,€0.00,€0.00,€20.78,€0.00,€13753.02,€0.00,€0.00,€0.00,€12.92,€0.00,€7.86
2022-04-05 18:26:08.718704,€0.00,€0.00,€862.63,€0.00,€12890.39,€837.42,€0.00,€0.00,€14.85,€0.00,€10.36
