Date,Income,Extra Income,Total Expenses,Extra Expenses,Balance,Mortgage,Car,Food,Leisure,Utilities,Other,Mortgage_Location,Car_Location,Food_Location,Leisure_Location,Utilities_Location,Other_Location,Extra_Expense_Location
2023-10-06 18:51:56.402276,€0.00,€0.00,€25.23,€0.00,€4396.02,€0.00,€0.00,€0.00,€15.01,€0.00,€10.22,"Bilbao, Spain","Bilbao, Spain","Atxamaike, Luiaondo, Ayala/Aiara, Aiarako kuadrilla/Cuadrilla de Ayala, Araba/Álava, Euskadi, 01408, España","Latxa, Axpuru, San Millán/Donemiliaga, Arabako lautada/Llanada Alavesa, Araba/Álava, Euskadi, 01208, España","Bilbao, Spain","Camino de la Balota, Valle de Manzanedo, Burgos, Castilla y León, 09558, España",
2023-10-07 18:51:56.402276,€0.00,€0.00,€24.77,€0.00,€4371.25,€0.00,€0.00,€0.00,€14.05,€0.00,€10.72,"Bilbao, Spain","Bilbao, Spain","Castillo de Untzueta, BI-2522, Bengoetxea, Orozko, Bizkaia, Euskadi, 48410, España","Arrizabala, Gorliz, Andraka, Bizkaia, Euskadi, 48620, España","Bilbao, Spain","La Poza, Valderredible, Cantabria, 39220, España",
2023-10-08 18:51:56.402276,€0.00,€0.00,€168.92,€0.00,€4202.33,€0.00,€0.00,€146.02,€14.18,€0.00,€8.72,"Bilbao, Spain","Bilbao, Spain","BBVA, 12, Gran Vía Don Diego López de Haro / On Diego Lopez Haroko kale nagusia, Abando, Bilbao, Bizkaia, Euskadi, 48001, España","Antigua Iglesia de San Cosme, BI-3611, Bezi - La Cabañuela, Bezi, Mercadillo, Sopuerta, Bizkaia, Euskadi, 48190, España","Bilbao, Spain","Goikolea, BI-2101, Zubiaur, Bakio, Andraka, Bizkaia, Euskadi, 48620, España",
2023-10-09 18:51:56.402276,€0.00,€0.00,€23.44,€0.00,€4178.89,€0.00,€0.00,€0.00,€13.07,€0.00,€10.37,"Bilbao, Spain","Bilbao, Spain","Buztenatera, Zeberio, Bizkaia, Euskadi, 48148, España","Río Ebro, Poligono Industrial de Lantaron, Leciñana del Camino/Leziñana, Lantarón, Añanako kuadrilla/Cuadrilla de Añana, Araba/Álava, Euskadi, 01213, España","Bilbao, Spain","8, Calle Castaños / Castaños kalea, Castaños, Uribarri, Bilbao, Bizkaia, Euskadi, 48007, España",
2023-10-10 18:51:56.402276,€0.00,€0.00,€431.90,€0.00,€3746.99,€0.00,€411.29,€0.00,€11.97,€0.00,€8.64,"Bilbao, Spain","Bilbao, Spain","Bilbao Port, Santurtzi, Bizkaia, Euskadi, 48620, España","Mitxelante, Etxebarria, Bizkaia, Euskadi, 48277, España","Bilbao, Spain","Carretera al Bernacho, Cabañas de El Bernacho, Espinosa de los Monteros, Burgos, Castilla y León, España",
2023-10-11 18:51:56.402276,€0.00,€0.00,€23.39,€0.00,€3723.60,€0.00,€0.00,€0.00,€13.22,€0.00,€10.17,"Bilbao, Spain","Bilbao, Spain","Via vieja de lezama, Izarza, Sondika, Bizkaia, Euskadi, 48150, España","Dolmen Aizkorritxo / Aizkorritxo trikuharria, Arbelarko bidea, Gipuzkoa, Euskadi, España","Bilbao, Spain","Berreño auzoa, Berreño, Munitibar-Arbatzegi Gerrikaitz, Bizkaia, Euskadi, 48381, España",
2023-10-12 18:51:56.402276,€0.00,€0.00,€20.99,€0.00,€3702.61,€0.00,€0.00,€0.00,€13.07,€0.00,€7.93,"Bilbao, Spain","Bilbao, Spain","Meatzeta, Maxam Explosivos / La Dinamita, Galdakao, Bizkaia, Euskadi, 48960, España","Sámano-Guriezo, La Helguera, Sámano, Guriezo, Cantabria, 39709, España","Bilbao, Spain","Olabide ikastola, 101, Lasarteko atea/Portal de Lasarte, Armentia, Vitoria-Gasteiz, Gasteizko kuadrilla/Cuadrilla de Vitoria, Araba/Álava, Euskadi, 01194, España",
2023-10-13 18:51:56.402276,€0.00,€0.00,€23.11,€0.00,€3679.50,€0.00,€0.00,€0.00,€14.81,€0.00,€8.29,"Bilbao, Spain","Bilbao, Spain","Acceso a San Pedro Goikuría, San Pedro Goikuría, Sodupe, Güeñes, Bizkaia, Euskadi, 48830, España","Los molinos de Arquiza, Arkitza, Akendibar, Galdames, Bizkaia, Euskadi, 48191, España","Bilbao, Spain","Parque Etxebarria, Ribera / Erribera, Casco Viejo, Ibaiondo, Bilbao, Bizkaia, Euskadi, 48007, España",
2023-10-14 18:51:56.402276,€0.00,€0.00,€22.76,€0.00,€3656.74,€0.00,€0.00,€0.00,€13.44,€0.00,€9.32,"Bilbao, Spain","Bilbao, Spain","Andraka, Bizkaia, Euskadi, 48620, España",España,"Bilbao, Spain","Sartal, Leciñana de Mena, Valle de Mena, Burgos, Castilla y León, España",
2023-10-15 18:51:56.402276,€0.00,€0.00,€452.66,€0.00,€3204.08,€0.00,€0.00,€155.23,€13.86,€275.59,€7.98,"Bilbao, Spain","Bilbao, Spain","Los Castaños de Machillo, Alonsotegi, Bizkaia, Euskadi, 48820, España","La Bermunda, Desojo, Montejurra, Navarra - Nafarroa, 31229, España","Bilbao, Spain","Flakiturri, Hueto Abajo/Otobarren, Vitoria-Gasteiz, Gasteizko kuadrilla/Cuadrilla de Vitoria, Araba/Álava, Euskadi, 01439, España",
2023-10-16 18:51:56.402276,€0.00,€0.00,€24.67,€0.00,€3179.42,€0.00,€0.00,€0.00,€13.56,€0.00,€11.11,"Bilbao, Spain","Bilbao, Spain","2, Izardui kalea/Calle Izardui, Larrazabal-Gardea, Laudio/Llodio, Aiarako kuadrilla/Cuadrilla de Ayala, Araba/Álava, Euskadi, 01400, España","Senda del arroyo Grazal, Leskuren, Güeñes, Bizkaia, Euskadi, 48830, España","Bilbao, Spain","Andraka, Bizkaia, Euskadi, 48620, España",
2023-10-17 18:51:56.402276,€0.00,€0.00,€22.79,€0.00,€3156.62,€0.00,€0.00,€0.00,€13.96,€0.00,€8.83,"Bilbao, Spain","Bilbao, Spain","Carretera de Bengolea a Trapagaran, Kareaga, Barakaldo, Bizkaia, Euskadi, 48093, España","La Coronilla, Merindad de Valdivielso, Burgos, Castilla y León, España","Bilbao, Spain","Osintxu auzoa, barreiatua, Bergara, Gipuzkoa, Euskadi, 20580, España",
2023-10-18 18:51:56.402276,€0.00,€0.00,€23.78,€0.00,€3132.85,€0.00,€0.00,€0.00,€13.59,€0.00,€10.18,"Bilbao, Spain","Bilbao, Spain","59, Camino Peñascal / Peñascal bidea, Iturrigorri-Peñascal, Errekalde, Bilbao, Bizkaia, Euskadi, 48002, España","BU-V-5322, Las Viadas, Valle de Tobalina, Burgos, Castilla y León, 09212, España","Bilbao, Spain","Torronco Blanco, Dehesas Agregadas de Zuya, Zuia, Gorbeialdea, Araba/Álava, Euskadi, 01139, España",
2023-10-19 18:51:56.402276,€0.00,€0.00,€23.12,€0.00,€3109.72,€0.00,€0.00,€0.00,€13.95,€0.00,€9.18,"Bilbao, Spain","Bilbao, Spain","19, Calle Olagorta / Olagorta kalea, Zorrotzaurre, San Pedro de Deusto-La Ribera, Deusto, Bilbao, Bizkaia, Euskadi, 48014, España","Andraka, Bizkaia, Euskadi, 48620, España","Bilbao, Spain","Baranbio, Amurrio, Aiarako kuadrilla/Cuadrilla de Ayala, Araba/Álava, Euskadi, 01450, España",
2023-10-20 18:51:56.402276,€0.00,€0.00,€21.77,€0.00,€3087.96,€0.00,€0.00,€0.00,€12.14,€0.00,€9.63,"Bilbao, Spain","Bilbao, Spain","10A, Eskauriatza, Okondo, Aiarako kuadrilla/Cuadrilla de Ayala, Araba/Álava, Euskadi, 01409, España","LR-340, Alesón, La Rioja, 26305, España","Bilbao, Spain","A-3228, Elvillar/Bilar, Arabako Errioxa/Rioja Alavesa, Araba/Álava, Euskadi, 01309, España",
2023-10-21 18:51:56.402276,€0.00,€0.00,€22.85,€0.00,€3065.10,€0.00,€0.00,€0.00,€12.94,€0.00,€9.92,"Bilbao, Spain","Bilbao, Spain","122, Camino Vía Vieja de Lezama / Lezamako trenbide zaharreko bidea, Asunción, Uribarri, Bilbao, Bizkaia, Euskadi, 48007, España","Montevite/Mandaita, Iruña Oka/Iruña de Oca, Añanako kuadrilla/Cuadrilla de Añana, Araba/Álava, Euskadi, 01428, España","Bilbao, Spain","Castro, Erriberagoitia/Ribera Alta, Añanako kuadrilla/Cuadrilla de Añana, Araba/Álava, Euskadi, 01213, España",
2023-10-22 18:51:56.402276,€0.00,€0.00,€184.77,€0.00,€2880.33,€0.00,€0.00,€162.13,€13.99,€0.00,€8.65,"Bilbao, Spain","Bilbao, Spain","Berriaga-Mendi etxe taldea - Laukariz - (La Bilbaína), Mungia, Andraka, Bizkaia, Euskadi, 48620, España","Refugio Markue, BI-4545, Emaldia, Emaldi, Dima, Bizkaia, Euskadi, 48141, España","Bilbao, Spain","Autopista del Ebro, San Asensio, La Rioja, 26340, España",
2023-10-23 18:51:56.402276,€0.00,€0.00,€21.97,€0.00,€2858.36,€0.00,€0.00,€0.00,€14.05,€0.00,€7.92,"Bilbao, Spain","Bilbao, Spain","Refugio de Montaña Biderdi, Zetas hacia Tarín, Alonsotegi, Bizkaia, Euskadi, 48002, España","Lemoa, Bizkaia, Euskadi, 48330, España","Bilbao, Spain","Cuesta, Merindad de Cuesta-Urria, Burgos, Castilla y León, 09212, España",
2023-10-24 18:51:56.402276,€0.00,€0.00,€24.55,€0.00,€2833.81,€0.00,€0.00,€0.00,€16.69,€0.00,€7.86,"Bilbao, Spain","Bilbao, Spain","Eroso-Ugarte, Bedia, Bizkaia, Euskadi, 48390, España","BI-4549, Baltzola, Dima, Bizkaia, Euskadi, 48141, España","Bilbao, Spain","GR38, Oleta, Aramaio, Gorbeialdea, Araba/Álava, Euskadi, 01165, España",
2023-10-25 18:51:56.402276,€0.00,€0.00,€22.07,€0.00,€2811.75,€0.00,€0.00,€0.00,€13.08,€0.00,€8.99,"Bilbao, Spain","Bilbao, Spain","Ureleta, Gumuzio, Galdakao, Bizkaia, Euskadi, 48915, España","LR-202, Cihuri, La Rioja, 26212, España","Bilbao, Spain","Calle Mayor, Castresana, Valle de Losa, Burgos, Castilla y León, España",
2023-10-26 18:51:56.402276,€0.00,€0.00,€22.34,€0.00,€2789.40,€0.00,€0.00,€0.00,€14.06,€0.00,€8.29,"Bilbao, Spain","Bilbao, Spain","Txorierriko korridorea, Berresoaga, Larrabetzu, Bizkaia, Euskadi, 48915, España","A-2622, Bóveda, Valdegovía/Gaubea, Añanako kuadrilla/Cuadrilla de Añana, Araba/Álava, Euskadi, 01427, España","Bilbao, Spain","BI-4406, Urrutia, Amoroto, Bizkaia, Euskadi, 48289, España",
2023-10-27 18:51:56.402276,€0.00,€0.00,€22.74,€0.00,€2766.67,€0.00,€0.00,€0.00,€14.53,€0.00,€8.20,"Bilbao, Spain","Bilbao, Spain","Zeberio, Bizkaia, Euskadi, 48148, España","BU-V-5571, Hozalla, Valle de Losa, Burgos, Castilla y León, España","Bilbao, Spain","Salón de Actos Unamuno, 1, Calle Licenciado Poza / Poza lizentziatuaren kalea, Abando, Bilbao, Bizkaia, Euskadi, 48008, España",
2023-10-28 18:51:56.402276,€0.00,€0.00,€21.46,€0.00,€2745.21,€0.00,€0.00,€0.00,€12.37,€0.00,€9.09,"Bilbao, Spain","Bilbao, Spain","saratxo-berenilla, Saratxo, Güeñes, Bizkaia, Euskadi, 48093, España","Camino de las Asturias / Paresotas - Torme, Návagos, Medina de Pomar, Burgos, Castilla y León, España","Bilbao, Spain","Andraka, Bizkaia, Euskadi, 48620, España",
2023-10-29 18:51:56.402276,€0.00,€0.00,€24.51,€0.00,€2720.70,€0.00,€0.00,€0.00,€14.57,€0.00,€9.93,"Bilbao, Spain","Bilbao, Spain","Túneles de Artxanda (La Salve-Valle de Asúa), Uribarri, Sondika, Bizkaia, Euskadi, 48150, España","Otebarren, Ezkurra, Baztan-Bidasoa, España","Bilbao, Spain","Andraka, Bizkaia, Euskadi, 48620, España",
2023-10-30 18:51:56.402276,€0.00,€0.00,€22.40,€0.00,€2698.31,€0.00,€0.00,€0.00,€12.58,€0.00,€9.81,"Bilbao, Spain","Bilbao, Spain","Parking superficie Centro Comercial Artea, Barrio Peruri, Centro Comercial Artea, Peruri, Leioa, Andraka, Bizkaia, Euskadi, 48620, España","El Pituelo, Bozoó, Burgos, Castilla y León, España","Bilbao, Spain",España,
2023-10-31 18:51:56.402276,€0.00,€0.00,€0.00,€0.00,€2698.31,€0.00,€0.00,€0.00,€0.00,€0.00,€0.00,"Bilbao, Spain","Bilbao, Spain","Muelle AZ-2, Bilbao Port, Zierbena, Bizkaia, Euskadi, 48980, España","Itza, Menegarai-Beotegi, Ayala/Aiara, Aiarako kuadrilla/Cuadrilla de Ayala, Araba/Álava, Euskadi, 01477, España","Bilbao, Spain","Andraka, Bizkaia, Euskadi, 48620, España",
2023-11-01 18:51:56.402276,€5133.21,€0.00,€150.24,€1949.16,€5732.12,€0.00,€0.00,€126.88,€14.52,€0.00,€8.83,"Bilbao, Spain","Bilbao, Spain","Calle Eleuterio Villaverde, Arizgoiti, Basauri, Bizkaia, Euskadi, 48970, España","La Ermita, Rucandio, Burgos, Castilla y León, España","Bilbao, Spain","Sistema de la Cubada Grande, Carretera al Bernacho, Cabañas de El Bernacho, Espinosa de los Monteros, Burgos, Castilla y León, España","Bentako Erreka, Ugao-Miraballes, Bizkaia, Euskadi, 48490, España"
2023-11-02 18:51:56.402276,€0.00,€0.00,€25.55,€0.00,€5706.57,€0.00,€0.00,€0.00,€14.83,€0.00,€10.72,"Bilbao, Spain","Bilbao, Spain","Supersur, Trapaga-Kauso, Durañona, Valle de Trápaga-Trapagaran, Bizkaia, Euskadi, 48620, España","Calle Santa Ana, Valdeajos de la Lora, Sargentes de la Lora, Burgos, Castilla y León, España","Bilbao, Spain","Residencia canina Manterola, Laurgain Diseminado, Aia, Urola-Kosta, Gipuzkoa, Euskadi, 20809, España",
2023-11-03 18:51:56.402276,€0.00,€0.00,€21.65,€0.00,€5684.92,€0.00,€0.00,€0.00,€12.31,€0.00,€9.34,"Bilbao, Spain","Bilbao, Spain","Gamiz-Fika, Bizkaia, Euskadi, 48620, España","Soldobarri, Orozko, Bizkaia, Euskadi, 48410, España","Bilbao, Spain","A-3624, Esquina Abajo, Respaldiza/Arrespalditza, Ayala/Aiara, Aiarako kuadrilla/Cuadrilla de Ayala, Araba/Álava, Euskadi, 01477, España",
2023-11-04 18:51:56.402276,€0.00,€0.00,€24.36,€0.00,€5660.57,€0.00,€0.00,€0.00,€14.42,€0.00,€9.94,"Bilbao, Spain","Bilbao, Spain","Artola, Galdakao, Bizkaia, Euskadi, 48915, España","Carretera Salas, Aguas Cándidas, Padrones de Bureba, Burgos, Castilla y León, 09246, España","Bilbao, Spain","Camino de Monte Degaña, Barrio El Caleruco, Entrambasaguas, Cantabria, 39794, España",
2023-11-05 18:51:56.402276,€0.00,€0.00,€890.16,€0.00,€4770.41,€866.31,€0.00,€0.00,€15.21,€0.00,€8.64,"Bilbao, Spain","Bilbao, Spain","58, Calle Licenciado Poza / Poza lizentziatuaren kalea, Autonomia, Indautxu, Abando, Bilbao, Bizkaia, Euskadi, 48013, España","Cueva Fresnedo 2, Acceso a Fresnedo, Fresnedo, Solórzano, Cantabria, 39738, España","Bilbao, Spain","Kabuena, Baserria, 15, Udala Auzoa, Udala, Arrasate / Mondragón, Gipuzkoa, Euskadi, 20500, España",
2023-11-06 18:51:56.402276,€0.00,€0.00,€23.04,€0.00,€4747.37,€0.00,€0.00,€0.00,€13.27,€0.00,€9.77,"Bilbao, Spain","Bilbao, Spain","BI-3726, Gaztelu, Larrabetzu, Bizkaia, Euskadi, 48195, España","Peña de Villasante, Junta de Traslaloma, Burgos, Castilla y León, España","Bilbao, Spain","Descargadero, Castro-Urdiales, Cantabria, 39707, España",
2023-11-07 18:51:56.402276,€0.00,€0.00,€22.87,€0.00,€4724.50,€0.00,€0.00,€0.00,€14.51,€0.00,€8.36,"Bilbao, Spain","Bilbao, Spain","Barrio Garaioltza, Gamiz-Fika, Bizkaia, Euskadi, 48620, España","BI-4543, Mekoleta, Otxandio, Bizkaia, Euskadi, 48210, España","Bilbao, Spain","Puntamotz, Gorliz, Andraka, Bizkaia, Euskadi, 48620, España",
2023-11-08 18:51:56.402276,€0.00,€0.00,€186.91,€0.00,€4537.59,€0.00,€0.00,€160.12,€17.15,€0.00,€9.64,"Bilbao, Spain","Bilbao, Spain","Txorierriko korridorea, Zangroiz, Sondika, Bizkaia, Euskadi, 48150, España","Ariznabarreta, Asparrena, Arabako lautada/Llanada Alavesa, Araba/Álava, Euskadi, 01250, España","Bilbao, Spain","sendero bolintxu, Buia, Ibaiondo, Bilbao, Bizkaia, Euskadi, 48003, España",
2023-11-09 18:51:56.402276,€0.00,€0.00,€24.00,€0.00,€4513.59,€0.00,€0.00,€0.00,€13.61,€0.00,€10.39,"Bilbao, Spain","Bilbao, Spain","Rebortun, Muskiz, Bizkaia, Euskadi, 48600, España",España,"Bilbao, Spain","Sirran, Arija, Burgos, Castilla y León, 09570, España",
2023-11-10 18:51:56.402276,€0.00,€0.00,€427.88,€0.00,€4085.71,€0.00,€402.56,€0.00,€15.26,€0.00,€10.07,"Bilbao, Spain","Bilbao, Spain","La Dinamita, Barakaldo, Bizkaia, Euskadi, 48903, España","Barrio Villanueva, Villanueva, Hazas, Liendo, Cantabria, 39776, España","Bilbao, Spain","Molina, Medina de Pomar, Burgos, Castilla y León, España",
2023-11-11 18:51:56.402276,€0.00,€0.00,€22.38,€0.00,€4063.33,€0.00,€0.00,€0.00,€13.12,€0.00,€9.26,"Bilbao, Spain","Bilbao, Spain","Julio Arteche etxetaldea, Izarza, Sondika, Bizkaia, Euskadi, 48150, España","Santa Cruz, Artzentales, Bizkaia, Euskadi, 48880, España","Bilbao, Spain","Urrialdo, Martioda, Vitoria-Gasteiz, Gasteizko kuadrilla/Cuadrilla de Vitoria, Araba/Álava, Euskadi, 01191, España",
2023-11-12 18:51:56.402276,€0.00,€0.00,€25.96,€0.00,€4037.37,€0.00,€0.00,€0.00,€15.46,€0.00,€10.50,"Bilbao, Spain","Bilbao, Spain","Brisketa, Calle de los Doctores Landa, Kareaga-Kalero, Basauri, Bizkaia, Euskadi, 48970, España",España,"Bilbao, Spain","Arenillas, Villarcayo de Merindad de Castilla la Vieja, Burgos, Castilla y León, España",
2023-11-13 18:51:56.402276,€0.00,€0.00,€25.35,€0.00,€4012.02,€0.00,€0.00,€0.00,€15.79,€0.00,€9.56,"Bilbao, Spain","Bilbao, Spain","BI-2524, Uderiaga, Zeberio, Bizkaia, Euskadi, 48490, España","Andraka, Bizkaia, Euskadi, 48620, España","Bilbao, Spain","Ampuero-La Aparecida, La Aparecida, Ampuero, Cantabria, 39849, España",
2023-11-14 18:51:56.402276,€0.00,€0.00,€21.91,€0.00,€3990.11,€0.00,€0.00,€0.00,€13.76,€0.00,€8.15,"Bilbao, Spain","Bilbao, Spain","Barrio El Juncal, Polígono Industrial Trápaga-Ugarte, Ugarte, Valle de Trápaga-Trapagaran, Bizkaia, Euskadi, 48620, España","A-2620, Eguzkierripa, Ibarra, Aramaio, Gorbeialdea, Araba/Álava, Euskadi, 01160, España","Bilbao, Spain","Camino - senda de Zunbeltz a Portandia y Dulantz, Andia, Valle de Yerri/Deierri, Estellerria / Tierra Estella, Navarra - Nafarroa, España",
2023-11-15 18:51:56.402276,€0.00,€0.00,€444.82,€0.00,€3545.29,€0.00,€0.00,€151.34,€12.21,€273.73,€7.55,"Bilbao, Spain","Bilbao, Spain","34A, Ugalde, Okondo, Aiarako kuadrilla/Cuadrilla de Ayala, Araba/Álava, Euskadi, 01409, España","LR-201, Velasco, Grañón, La Rioja, 26087, España","Bilbao, Spain","Andraka, Bizkaia, Euskadi, 48620, España",
2023-11-16 18:51:56.402276,€0.00,€0.00,€17.92,€0.00,€3527.37,€0.00,€0.00,€0.00,€10.60,€0.00,€7.32,"Bilbao, Spain","Bilbao, Spain","22B, Billatxika, Okondo, Aiarako kuadrilla/Cuadrilla de Ayala, Araba/Álava, Euskadi, 01409, España","Calle del Ejército Español, Ornás, Sámano, Castro-Urdiales, Cantabria, 39709, España","Bilbao, Spain","Camino de Villaescusa del Butrón a Poza de la Sal, Villaescusa del Butrón, Los Altos, Burgos, Castilla y León, España",
2023-11-17 18:51:56.402276,€0.00,€0.00,€24.36,€0.00,€3503.01,€0.00,€0.00,€0.00,€13.85,€0.00,€10.51,"Bilbao, Spain","Bilbao, Spain","Santelices, San Juan, Muskiz, Bizkaia, Euskadi, 48600, España","Los Cuetos, Urduña/Orduña, Bizkaia, Euskadi, 48460, España","Bilbao, Spain","27-5, Frai Francisco Vitoria ibilbidea/Paseo Fray Francisco de Vitoria, Batan, Mendizorrotza, Vitoria-Gasteiz, Gasteizko kuadrilla/Cuadrilla de Vitoria, Araba/Álava, Euskadi, 01007, España",
2023-11-18 18:51:56.402276,€0.00,€0.00,€21.28,€0.00,€3481.74,€0.00,€0.00,€0.00,€12.88,€0.00,€8.40,"Bilbao, Spain","Bilbao, Spain","Inside, Calle Bidebarrieta / Bidebarrieta kalea, Ribera / Erribera, Casco Viejo, Ibaiondo, Bilbao, Bizkaia, Euskadi, 48005, España","Arteaga, Metauten, Estellerria / Tierra Estella, Navarra - Nafarroa, 31241, España","Bilbao, Spain","Lugorri, Lezama, Amurrio, Aiarako kuadrilla/Cuadrilla de Ayala, Araba/Álava, Euskadi, 01450, España",
2023-11-19 18:51:56.402276,€0.00,€0.00,€25.70,€0.00,€3456.03,€0.00,€0.00,€0.00,€15.93,€0.00,€9.78,"Bilbao, Spain","Bilbao, Spain","BI-4207, Mañu Arranotegi, Arrieta, Bizkaia, Euskadi, 48370, España","Sendero a Escaño, Escaño, Villarcayo de Merindad de Castilla la Vieja, Burgos, Castilla y León, España","Bilbao, Spain","Andraka, Bizkaia, Euskadi, 48620, España",
2023-11-20 18:51:56.402276,€0.00,€0.00,€24.43,€0.00,€3431.61,€0.00,€0.00,€0.00,€13.61,€0.00,€10.82,"Bilbao, Spain","Bilbao, Spain","Monte Avril bidea, Galdakao, Bizkaia, Euskadi, 48960, España","Txorierriko korridorea, Aranoltza (San Antolin), Zamudio, Bizkaia, Euskadi, 48170, España","Bilbao, Spain","A-3138, Agurain/Salvatierra, Arabako lautada/Llanada Alavesa, Araba/Álava, Euskadi, 01200, España",
